Number,Name,HP,Attack,Defense,Speed,Special
1,BULBASAUR,45,49,49,45,65
2,IVYSAUR,60,62,63,60,80
3,VENUSAUR,80,82,83,80,100
4,CHARMANDER,39,52,43,65,50
5,CHARMELEON,58,64,58,80,65
6,CHARIZARD,78,84,78,100,85
7,SQUIRTLE,44,48,65,43,50
8,WARTORTLE,59,63,80,58,65
9,BLASTOISE,79,83,100,78,85
10,CATERPIE,45,30,35,45,20
11,METAPOD,50,20,55,30,25
12,BUTTERFREE,60,45,50,70,80
13,WEEDLE,40,35,30,50,20
14,KAKUNA,45,25,50,35,25
15,BEEDRILL,65,80,40,75,45
16,PIDGEY,40,45,40,56,35
17,PIDGEOTTO,63,60,55,71,50
18,PIDGEOT,83,80,75,91,70
19,RATTATA,30,56,35,72,25
20,RATICATE,55,81,60,97,50
21,SPEAROW,40,60,30,70,31
22,FEAROW,65,90,65,100,61
23,EKANS,35,60,44,55,40
24,ARBOK,60,85,69,80,65
25,PIKACHU,35,55,30,90,50
26,RAICHU,60,90,55,100,90
27,SANDSHREW,50,75,85,40,30
28,SANDSLASH,75,100,110,65,55
29,NIDORAN_F,55,47,47,47,47
30,NIDORINA,70,62,67,56,55
31,NIDOQUEEN,90,82,87,76,75
32,NIDORAN_M,46,57,57,57,57
33,NIDORINO,61,72,57,65,55
34,NIDOKING,81,92,77,85,75
35,CLEFAIRY,70,45,48,35,60
36,CLEFABLE,95,70,73,60,85
37,VULPIX,38,41,40,65,65
38,NINETALES,73,76,75,100,100
39,JIGGLYPUFF,115,45,20,20,25
40,WIGGLYTUFF,140,70,45,45,50
41,ZUBAT,40,45,35,55,40
42,GOLBAT,75,80,70,90,75
43,ODDISH,45,50,55,30,75
44,GLOOM,60,65,70,40,85
45,VILEPLUME,75,80,85,50,100
46,PARAS,35,70,55,25,55
47,PARASECT,60,95,80,30,80
48,VENONAT,60,55,50,45,40
49,VENOMOTH,70,65,60,90,90
50,DIGLETT,10,55,25,95,45
51,DUGTRIO,35,80,50,120,70
52,MEOWTH,40,45,35,90,40
53,PERSIAN,65,70,60,115,65
54,PSYDUCK,50,52,48,55,50
55,GOLDUCK,80,82,78,85,80
56,MANKEY,40,80,35,70,35
57,PRIMEAPE,65,105,60,95,60
58,GROWLITHE,55,70,45,60,50
59,ARCANINE,90,110,80,95,80
60,POLIWAG,40,50,40,90,40
61,POLIWHIRL,65,65,65,90,50
62,POLIWRATH,90,85,95,70,70
63,ABRA,25,20,15,90,105
64,KADABRA,40,35,30,105,120
65,ALAKAZAM,55,50,45,120,135
66,MACHOP,70,80,50,35,35
67,MACHOKE,80,100,70,45,50
68,MACHAMP,90,130,80,55,65
69,BELLSPROUT,50,75,35,40,70
70,WEEPINBELL,65,90,50,55,85
71,VICTREEBEL,80,105,65,70,100
72,TENTACOOL,40,40,35,70,100
73,TENTACRUEL,80,70,65,100,120
74,GEODUDE,40,80,100,20,30
75,GRAVELER,55,95,115,35,45
76,GOLEM,80,110,130,45,55
77,PONYTA,50,85,55,90,65
78,RAPIDASH,65,100,70,105,80
79,SLOWPOKE,90,65,65,15,40
80,SLOWBRO,95,75,110,30,80
81,MAGNEMITE,25,35,70,45,95
82,MAGNETON,50,60,95,70,120
83,FARFETCH'D,52,65,55,60,58
84,DODUO,35,85,45,75,35
85,DODRIO,60,110,70,100,60
86,SEEL,65,45,55,45,70
87,DEWGONG,90,70,80,70,95
88,GRIMER,80,80,50,25,40
89,MUK,105,105,75,50,65
90,SHELLDER,30,65,100,40,45
91,CLOYSTER,50,95,180,70,85
92,GASTLY,30,35,30,80,100
93,HAUNTER,45,50,45,95,115
94,GENGAR,60,65,60,110,130
95,ONIX,35,45,160,70,30
96,DROWZEE,60,48,45,42,90
97,HYPNO,85,73,70,67,115
98,KRABBY,30,105,90,50,25
99,KINGLER,55,130,115,75,50
100,VOLTORB,40,30,50,100,55
101,ELECTRODE,60,50,70,140,80
102,EXEGGCUTE,60,40,80,40,60
103,EXEGGUTOR,95,95,85,55,125
104,CUBONE,50,50,95,35,40
105,MAROWAK,60,80,110,45,50
106,HITMONLEE,50,120,53,87,35
107,HITMONCHAN,50,105,79,76,35
108,LICKITUNG,90,55,75,30,60
109,KOFFING,40,65,95,35,60
110,WEEZING,65,90,120,60,85
111,RHYHORN,80,85,95,25,30
112,RHYDON,105,130,120,40,45
113,CHANSEY,250,5,5,50,105
114,TANGELA,65,55,115,60,100
115,KANGASKHAN,105,95,80,90,40
116,HORSEA,30,40,70,60,70
117,SEADRA,55,65,95,85,95
118,GOLDEEN,45,67,60,63,50
119,SEAKING,80,92,65,68,80
120,STARYU,30,45,55,85,70
121,STARMIE,60,75,85,115,100
122,MR. MIME,40,45,65,90,100
123,SCYTHER,70,110,80,105,55
124,JYNX,65,50,35,95,95
125,ELECTABUZZ,65,83,57,105,85
126,MAGMAR,65,95,57,93,85
127,PINSIR,65,125,100,85,55
128,TAUROS,75,100,95,110,70
129,MAGIKARP,20,10,55,80,20
130,GYARADOS,95,125,79,81,100
131,LAPRAS,130,85,80,60,95
132,DITTO,48,48,48,48,48
133,EEVEE,55,55,50,55,65
134,VAPOREON,130,65,60,65,110
135,JOLTEON,65,65,60,130,110
136,FLAREON,65,130,60,65,110
137,PORYGON,65,60,70,40,75
138,OMANYTE,35,40,100,35,90
139,OMASTAR,70,60,125,55,115
140,KABUTO,30,80,90,55,45
141,KABUTOPS,60,115,105,80,70
142,AERODACTYL,80,105,65,130,60
143,SNORLAX,160,110,65,30,65
144,ARTICUNO,90,85,100,85,125
145,ZAPDOS,90,90,85,100,125
146,MOLTRES,90,100,90,90,125
147,DRATINI,41,64,45,50,50
148,DRAGONAIR,61,84,65,70,70
149,DRAGONITE,91,134,95,80,100
150,MEWTWO,106,110,90,130,154
151,MEW,100,100,100,100,100
